,state,party
0,Alabama,REPUBLICAN
1,Alaska,REPUBLICAN
2,Arizona,REPUBLICAN
3,Arkansas,REPUBLICAN
4,California,DEMOCRAT
5,Colorado,SWING
6,Connecticut,DEMOCRAT
7,Delaware,DEMOCRAT
8,District Of Columbia,DEMOCRAT
9,Florida,SWING
10,Georgia,REPUBLICAN
11,Hawaii,DEMOCRAT
12,Idaho,REPUBLICAN
13,Illinois,DEMOCRAT
14,Indiana,SWING
15,Iowa,SWING
16,Kansas,REPUBLICAN
17,Kentucky,REPUBLICAN
18,Louisiana,REPUBLICAN
19,Maine,DEMOCRAT
20,Maryland,DEMOCRAT
21,Massachusetts,DEMOCRAT
22,Michigan,SWING
23,Minnesota,DEMOCRAT
24,Mississippi,REPUBLICAN
25,Missouri,REPUBLICAN
26,Montana,REPUBLICAN
27,Nebraska,REPUBLICAN
28,Nevada,SWING
29,New Hampshire,DEMOCRAT
30,New Jersey,DEMOCRAT
31,New Mexico,SWING
32,New York,DEMOCRAT
33,North Carolina,SWING
34,North Dakota,REPUBLICAN
35,Ohio,SWING
36,Oklahoma,REPUBLICAN
37,Oregon,DEMOCRAT
38,Pennsylvania,SWING
39,Rhode Island,DEMOCRAT
40,South Carolina,REPUBLICAN
41,South Dakota,REPUBLICAN
42,Tennessee,REPUBLICAN
43,Texas,REPUBLICAN
44,Utah,REPUBLICAN
45,Vermont,DEMOCRAT
46,Virginia,SWING
47,Washington,DEMOCRAT
48,West Virginia,REPUBLICAN
49,Wisconsin,SWING
50,Wyoming,REPUBLICAN
